<<<<<<< HEAD
customer,vin,start_date,end_date,country,contract_id
Stone,02933,11.01.21,06.04.21,Tunisia,1
Nash,06806,10.20.20,11.24.20,Guam,2
Asher,88785,07.05.21,10.19.20,Sweden,3
Dale,58895,12.15.20,09.22.20,Saint Barthélemy,4
Merrill,36545,07.17.20,01.30.20,Latvia,5
Dante,49712,08.09.21,02.25.20,Saint Pierre and Miquelon,6
Garrett,27944,05.15.20,10.05.20,Macedonia,7
Jeremy,00809,04.17.21,10.09.20,Mozambique,8
Caesar,31924,01.29.21,11.12.21,Denmark,9
Tanner,20339,01.22.20,05.27.21,Suriname,10
Zeus,64783,04.25.20,08.12.21,Uzbekistan,11
Ralph,21642,04.29.21,03.21.20,Viet Nam,12
Harper,85364,12.18.20,08.07.20,El Salvador,14
Scott,96184,10.15.20,01.18.21,Heard Island and Mcdonald Islands,15
Solomon,32066,08.11.20,05.27.20,Guernsey,16
=======
customer,vin,start_date,end_date,country,contract_id
Jón Jónasson,132592,12.10.20,16.10.20,Iceland,320
test,2313,13.4.22,17.10.20,Iceland,321
>>>>>>> d34924f5aaaf3e21e1201376dcfcab0c8cdb8067
