unique_id,name,ssn,address,zip_code,city,country,phone,email,state
<<<<<<< HEAD
2,John Smith,150588-2459,Heimilisgata 1,104,Reykjavik,Iceland,551-4489,John@email.com,Inactive
3,John Smith,150588-2459,Heimilisgata 1,104,Reykjavik,Iceland,551-4489,John@email.com,Active
4,John Smith,150588-2459,Heimilisgata 1,TEST,Reykjavik,Iceland,551-4489,John@email.com,Inactive
5,John Smith,150588-2459,Heimilisgata 1,104,Reykjavik,Iceland,551-4489,John@email.com,Active
6,John Smith,150588-2459,Heimilisgata 1,104,Reykjavik,Iceland,551-4489,John@email.com,Active
7,Baldur,sadfsad,hemill 2,105,Reykjavik,Iceland,551-4489,LOL@LOL.IS,Active
=======
2,John Smith,150588-2459,Heimilisgata 1,104,Reykjavik,Iceland,551-4489,John@email.com,DELETED
3,John Smith,150588-2459,Heimilisgata 1,104,Reykjavik,Iceland,551-4489,John@email.com,ACTIVE
4,John Smith,150588-2459,Heimilisgata 1,TEST,Reykjavik,Iceland,551-4489,John@email.com,DELETED
5,John Smith,150588-2459,Heimilisgata 1,104,Reykjavik,Iceland,551-4489,John@email.com,ACTIVE
6,John Smith,150588-2459,Heimilisgata 1,104,Reykjavik,Iceland,551-4489,John@email.com,ACTIVE
7,a,a,a,a,a,a,a,a,ACTIVE
>>>>>>> 2c612265a6aad36d663c170db2d290e34c6d9371
